"epoch","training loss","validation loss"
"355","0.0741232","0"
"356","0.0741057","0"
"357","0.0741026","0"
"358","0.0741039","0"
"359","0.0741227","0"
"360","0.074109","0"
"361","0.0741116","0"
"362","0.0740959","0"
"363","0.0740953","0"
"364","0.0741232","0"
"365","0.074105","0"
"366","0.0741261","0"
"367","0.0740977","0"
"368","0.0740925","0"
"369","0.0741127","0"
"370","0.0741136","0"
"371","0.0741126","0"
"372","0.0741199","0"
"373","0.0741038","0"
"374","0.0741244","0"
"375","0.074109","0"
"376","0.0741207","0"
"377","0.0740905","0"
"378","0.0740861","0"
"379","0.0741006","0"
"380","0.0740988","0"
"381","0.0740994","0"
"382","0.0741159","0"
"383","0.0741079","0"
"384","0.0741118","0"
"385","0.0741022","0"
"386","0.0740875","0"
"387","0.0740999","0"
"388","0.074107","0"
"389","0.0741049","0"
"390","0.0741234","0"
"391","0.0741036","0"
"392","0.0741012","0"
"393","0.0740881","0"
"394","0.0740948","0"
"395","0.0741268","0"
"396","0.0741076","0"
"397","0.0740885","0"
"398","0.0741013","0"
"399","0.0740987","0"
"400","0.0740945","0"
"401","0.0740104","0"
"402","0.073987","0"
"403","0.0740008","0"
"404","0.0739684","0"
"405","0.0739572","0"
"406","0.0739886","0"
"407","0.073958","0"
"408","0.073977","0"
"409","0.07399","0"
"410","0.0739809","0"
"411","0.0739779","0"
"412","0.0739633","0"
"413","0.0739554","0"
"414","0.0739809","0"
"415","0.0739679","0"
"416","0.073953","0"
"417","0.073966","0"
"418","0.0739592","0"
"419","0.0739517","0"
"420","0.07397","0"
"421","0.0739559","0"
"422","0.0739599","0"
"423","0.0739454","0"
"424","0.0739402","0"
"425","0.0739665","0"
"426","0.0739445","0"
"427","0.0739443","0"
"428","0.0739521","0"
"429","0.0739661","0"
"430","0.0739642","0"
"431","0.0739511","0"
"432","0.073976","0"
"433","0.0739426","0"
"434","0.0739438","0"
"435","0.0739556","0"
"436","0.0739399","0"
"437","0.0739594","0"
"438","0.0739468","0"
"439","0.073963","0"
"440","0.0739512","0"
"441","0.073936","0"
"442","0.0739346","0"
"443","0.0739529","0"
"444","0.0739534","0"
"445","0.0739586","0"
"446","0.0739568","0"
"447","0.0739521","0"
"448","0.0739617","0"
"449","0.0739538","0"
"450","0.0739589","0"
"451","0.0739563","0"
"452","0.0739586","0"
"453","0.0739334","0"
"454","0.0739564","0"
"455","0.0739314","0"
"456","0.0739459","0"
"457","0.0739465","0"
"458","0.0739659","0"
"459","0.0739556","0"
"460","0.0739605","0"
"461","0.0739428","0"
"462","0.0739331","0"
"463","0.0739461","0"
"464","0.0739633","0"
"465","0.0739553","0"
"466","0.0739521","0"
"467","0.0739356","0"
"468","0.0739402","0"
"469","0.073943","0"
"470","0.0739638","0"
"471","0.073939","0"
"472","0.0739551","0"
"473","0.0739319","0"
"474","0.0739516","0"
"475","0.0739495","0"
"476","0.0739479","0"
"477","0.0739418","0"
"478","0.0739567","0"
"479","0.0739599","0"
"480","0.0739342","0"
"481","0.0739537","0"
"482","0.0739564","0"
"483","0.0739427","0"
"484","0.0739616","0"
"485","0.0739414","0"
"486","0.0739353","0"
"487","0.0739537","0"
"488","0.0739615","0"
"489","0.0739407","0"
"490","0.0739646","0"
"491","0.0739433","0"
"492","0.0739318","0"
"493","0.0739453","0"
"494","0.073955","0"
"495","0.073961","0"
"496","0.0739535","0"
"497","0.0739661","0"
"498","0.0739443","0"
"499","0.073959","0"
"500","0.0739394","0"
